                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5104,                 1.8768,                 1.0361,                0.99628,                      1,                  0.995,                0.54011,                 1.5512,                 2.7559,                 1.1362,             0.00060781,             0.00060781,             0.00060781
                     47,                 1.4901,                 1.9245,                0.99181,                0.99858,                      1,                  0.995,                0.53544,                 1.5551,                  2.618,                 1.0873,             0.00057688,             0.00057688,             0.00057688
                     48,                 1.5391,                 2.5127,                0.97545,                0.99974,                      1,                  0.995,                0.51311,                 1.5487,                  2.493,                 1.0494,             0.00054594,             0.00054594,             0.00054594
                     49,                 1.4603,                 1.9706,                 1.1048,                0.99987,                      1,                  0.995,                0.53036,                 1.5416,                 2.4484,                 1.0287,               0.000515,               0.000515,               0.000515
                     50,                 1.3385,                 1.6681,                0.94866,                0.99987,                      1,                  0.995,                0.53036,                 1.5416,                 2.4484,                 1.0287,             0.00048406,             0.00048406,             0.00048406
                     51,                 1.5215,                 1.7142,                 1.0423,                0.99931,                      1,                  0.995,                 0.5597,                   1.52,                 2.3863,                 1.0252,             0.00045313,             0.00045313,             0.00045313
                     52,                 1.4391,                 1.6546,                 1.0535,                0.99883,                      1,                  0.995,                0.59587,                 1.4577,                 2.2706,                 1.0115,             0.00042219,             0.00042219,             0.00042219
                     53,                  1.483,                 1.9043,                 1.0629,                0.99921,                      1,                  0.995,                 0.6101,                  1.375,                 2.1958,                 1.0071,             0.00039125,             0.00039125,             0.00039125
                     54,                  1.487,                 2.0753,                 1.0001,                0.99921,                      1,                  0.995,                 0.6101,                  1.375,                 2.1958,                 1.0071,             0.00036031,             0.00036031,             0.00036031
                     55,                  1.471,                 1.7598,                  1.079,                0.99993,                      1,                  0.995,                0.62184,                 1.2953,                  2.132,                 1.0023,             0.00032938,             0.00032938,             0.00032938
                     56,                 1.2489,                 1.4913,                0.96778,                      1,                0.99945,                  0.995,                 0.6592,                 1.2672,                  2.146,                 1.0067,             0.00029844,             0.00029844,             0.00029844
                     57,                 1.3043,                 1.9804,                0.98708,                      1,                0.99974,                  0.995,                0.67469,                 1.2523,                 2.1483,                 1.0085,              0.0002675,              0.0002675,              0.0002675
                     58,                 1.3833,                 1.8805,                0.85901,                      1,                0.99974,                  0.995,                0.67469,                 1.2523,                 2.1483,                 1.0085,             0.00023656,             0.00023656,             0.00023656
                     59,                 1.3356,                 1.8707,                0.91748,                0.99987,                      1,                  0.995,                0.66816,                  1.257,                 2.1293,                 1.0128,             0.00020562,             0.00020562,             0.00020562
                     60,                  1.378,                 1.9104,                0.93502,                0.99922,                      1,                  0.995,                 0.6721,                 1.2492,                 2.1026,                 1.0152,             0.00017469,             0.00017469,             0.00017469
                     61,                 1.2784,                  1.533,                 1.0445,                0.99904,                      1,                  0.995,                0.68591,                 1.2353,                 2.0657,                  1.014,             0.00014375,             0.00014375,             0.00014375
                     62,                 1.3237,                 1.9237,                0.91697,                0.99904,                      1,                  0.995,                0.68591,                 1.2353,                 2.0657,                  1.014,             0.00011281,             0.00011281,             0.00011281
                     63,                 1.3262,                 1.7409,                0.94806,                0.99895,                      1,                  0.995,                0.68591,                 1.2283,                 2.0426,                 1.0118,             8.1875e-05,             8.1875e-05,             8.1875e-05
